epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,789.101,1.11775,0.66938,0.99254,0.8008,0.67503,0.73245,0.44675,1.28376,0.89725,0.98646,0.0083863,0.0083863,0.0083863
165,793.853,1.10947,0.65702,0.99102,0.7724,0.67972,0.72467,0.44088,1.30279,0.90274,0.9954,0.0083764,0.0083764,0.0083764
166,798.51,1.10385,0.65319,0.99514,0.80763,0.66513,0.72606,0.4505,1.27694,0.90081,0.99097,0.0083665,0.0083665,0.0083665
167,803.254,1.1176,0.66541,0.99514,0.81783,0.66421,0.72457,0.44302,1.30727,0.89877,0.99755,0.0083566,0.0083566,0.0083566
168,808.048,1.12191,0.67117,0.99325,0.81173,0.66911,0.72444,0.43685,1.31762,0.92104,1.01114,0.0083467,0.0083467,0.0083467
169,812.867,1.11487,0.66257,0.98911,0.80743,0.66661,0.72884,0.43959,1.30634,0.92485,1.00009,0.0083368,0.0083368,0.0083368
170,817.61,1.09562,0.66131,0.98495,0.77996,0.6786,0.72834,0.43925,1.31762,0.9167,1.00034,0.0083269,0.0083269,0.0083269
171,822.347,1.1479,0.70863,1.00307,0.79998,0.6687,0.72498,0.43496,1.30819,0.92363,0.99711,0.008317,0.008317,0.008317
172,827.095,1.1052,0.65865,0.99049,0.7944,0.6788,0.72793,0.44167,1.29646,0.90242,0.99811,0.0083071,0.0083071,0.0083071
173,831.918,1.11463,0.66003,0.98822,0.78699,0.67114,0.72784,0.43922,1.29728,0.92185,0.98697,0.0082972,0.0082972,0.0082972
174,836.801,1.09299,0.65021,0.98577,0.78462,0.667,0.72022,0.43171,1.3385,0.92429,1.00571,0.0082873,0.0082873,0.0082873
175,841.625,1.10567,0.65848,0.98945,0.79708,0.67491,0.73479,0.44092,1.31461,0.90375,0.99451,0.0082774,0.0082774,0.0082774
176,846.433,1.11195,0.66163,0.99039,0.79012,0.68474,0.73102,0.44053,1.31052,0.89685,1.00194,0.0082675,0.0082675,0.0082675
177,851.292,1.10166,0.65591,0.98605,0.79226,0.66608,0.72651,0.43885,1.32583,0.93018,0.98884,0.0082576,0.0082576,0.0082576
178,856.144,1.12088,0.66373,0.99121,0.81011,0.66543,0.72063,0.42786,1.32621,0.91996,1.00929,0.0082477,0.0082477,0.0082477
179,860.872,1.08769,0.65173,0.98281,0.80432,0.67674,0.7229,0.43795,1.3131,0.89076,0.99198,0.0082378,0.0082378,0.0082378
180,865.487,1.10337,0.66172,0.98623,0.82147,0.66839,0.72684,0.44071,1.31224,0.89116,0.99009,0.0082279,0.0082279,0.0082279
181,870.128,1.09742,0.67641,0.99126,0.78757,0.67179,0.72273,0.43371,1.32344,0.92186,0.99372,0.008218,0.008218,0.008218
